blockcollect,ID,condition,p,trialcollect
test,7,m1,8.185484489655823e-14,57
test,7,m1,5.644591985118873e-14,58
test,7,m1,4.3715637223172826e-15,59
test,7,m1,1.2158389529545732e-13,60
test,7,m1,1.180757787483627e-15,61
test,7,m1,2.886662661496001e-15,62
test,7,m1,1.743461891377156e-15,63
test,7,m1,5.255291102464199e-13,64
train,8,m1,1.0630699241728501e-32,1
train,8,m1,2.9598441789279132e-24,2
train,8,m1,5.054159572713879e-21,3
train,8,m1,6.946919157703636e-22,4
train,8,m1,6.897721816098014e-18,5
train,8,m1,4.3010856544179964e-18,6
train,8,m1,1.809580012690406e-16,7
train,8,m1,1.1892708606871431e-18,8
train,8,m1,6.244649289074251e-16,9
train,8,m1,8.2860462052115e-17,10
train,8,m1,1.007250594075462e-19,11
train,8,m1,9.693730921997911e-16,12
train,8,m1,1.1606176964995819e-17,13
train,8,m1,2.6637458243935347e-15,14
train,8,m1,7.889536185967471e-17,15
train,8,m1,2.846110442985499e-17,16
train,8,m1,1.559155780625856e-16,17
train,8,m1,6.4527622137201986e-15,18
train,8,m1,7.015711851289313e-17,19
train,8,m1,3.168172240395131e-14,20
train,8,m1,6.089659001862312e-18,21
train,8,m1,2.093670561860313e-17,22
train,8,m1,2.4917896657714392e-14,23
train,8,m1,6.65143675611401e-15,24
train,8,m1,1.5244570759415836e-15,25
train,8,m1,1.7969143290301123e-14,26
train,8,m1,2.7280623066279746e-16,27
train,8,m1,1.3713499150249585e-16,28
train,8,m1,4.1048175465239686e-14,29
train,8,m1,3.757695704975601e-16,30
train,8,m1,8.112316439007192e-17,31
train,8,m1,4.504803910744515e-16,32
train,8,m1,6.837802639234796e-15,33
train,8,m1,8.333349337192111e-14,34
train,8,m1,7.0420087302906515e-15,35
train,8,m1,6.624752253660184e-15,36
train,8,m1,9.301887974883915e-15,37
train,8,m1,3.08554553164319e-14,38
train,8,m1,1.4483169031480683e-14,39
train,8,m1,5.1883315894431237e-14,40
test,8,m1,1.2254448798591011e-25,41
test,8,m1,1.2532801070846846e-22,42
test,8,m1,2.8103215742244764e-20,43
test,8,m1,2.717445807425326e-15,44
test,8,m1,1.1687253252065376e-21,45
test,8,m1,4.334728330701447e-18,46
test,8,m1,1.1142196437076575e-15,47
test,8,m1,3.2025693695864456e-17,48
test,8,m1,8.510410250630319e-20,49
test,8,m1,3.149276438825369e-16,50
test,8,m1,4.055495919148182e-15,51
test,8,m1,5.4686399220983255e-19,52
test,8,m1,8.073186216761563e-15,53
test,8,m1,4.152568965397959e-16,54
test,8,m1,1.7414959279065789e-15,55
test,8,m1,4.428610914858827e-16,56
test,8,m1,2.460877367767983e-14,57
test,8,m1,6.0162988414942664e-15,58
test,8,m1,1.325174469770762e-15,59
test,8,m1,2.5955747069743773e-15,60
test,8,m1,2.6790591212887084e-15,61
test,8,m1,7.643486402619457e-14,62
test,8,m1,1.5510315064639138e-14,63
test,8,m1,1.607552524256206e-13,64
train,9,m1,8.528537531227057e-35,1
train,9,m1,1.2471391089274649e-22,2
train,9,m1,1.4125714449057253e-22,3
train,9,m1,6.860584301726527e-21,4
train,9,m1,1.2889411355667135e-19,5
train,9,m1,3.5908154409207635e-18,6
train,9,m1,8.342653660319303e-21,7
train,9,m1,1.29206868995314e-16,8
train,9,m1,6.799534484771235e-17,9
train,9,m1,9.57360378297602e-17,10
train,9,m1,2.8251674342506285e-15,11
train,9,m1,1.0355391370490098e-17,12
train,9,m1,1.5104328324975942e-19,13
train,9,m1,8.113172736377307e-18,14
train,9,m1,3.4118434175844014e-17,15
train,9,m1,1.1953180720886917e-15,16
train,9,m1,4.937484751465365e-17,17
train,9,m1,1.1230070811398289e-15,18
train,9,m1,5.293656494192523e-15,19
train,9,m1,3.0163038069303504e-15,20
train,9,m1,5.1159274619277543e-17,21
train,9,m1,3.6041646305386545e-16,22
train,9,m1,1.1186687206590577e-17,23
train,9,m1,3.425685502953489e-14,24
train,9,m1,4.146988945275508e-14,25
train,9,m1,2.2789416363679267e-14,26
train,9,m1,2.2498100345536595e-16,27
train,9,m1,6.100501222110514e-16,28
train,9,m1,4.313569811638504e-16,29
train,9,m1,3.3374024564105493e-16,30
train,9,m1,1.5780978196066264e-16,31
train,9,m1,2.56198879182456e-16,32
train,9,m1,1.3310697926138723e-16,33
train,9,m1,9.381837720709354e-15,34
train,9,m1,4.0257636333314577e-16,35
train,9,m1,2.0451026852814864e-16,36
train,9,m1,6.131840911763331e-14,37
train,9,m1,3.0208731261643137e-16,38
