blockcollect,ID,condition,p,trialcollect
train,9,m1,7.210468760422955e-15,34
train,9,m1,2.4736895881281515e-14,35
train,9,m1,6.997698319237411e-14,36
train,9,m1,1.065338477699608e-13,37
train,9,m1,2.262154798606062e-15,38
train,9,m1,5.084866366705245e-16,39
train,9,m1,6.035408751817271e-15,40
test,9,m1,1.8945485448179556e-22,41
test,9,m1,1.209692063005305e-19,42
test,9,m1,5.462602827115668e-16,43
test,9,m1,4.354210485922731e-21,44
test,9,m1,8.344832541682214e-16,45
test,9,m1,6.837734471280515e-19,46
test,9,m1,1.2332553212200072e-17,47
test,9,m1,5.59837638520902e-16,48
test,9,m1,1.5574659498960837e-17,49
test,9,m1,2.7748826235420787e-18,50
test,9,m1,8.977239516200892e-16,51
test,9,m1,7.773152006130158e-16,52
test,9,m1,3.692556174722948e-18,53
test,9,m1,3.197351381933563e-16,54
test,9,m1,5.145613452099955e-16,55
test,9,m1,3.379674959132255e-16,56
test,9,m1,8.1224239243481e-16,57
test,9,m1,5.991604019433541e-16,58
test,9,m1,1.299637640712184e-17,59
test,9,m1,1.91228474277846e-16,60
test,9,m1,1.74868310834315e-16,61
test,9,m1,1.3093049898665974e-15,62
test,9,m1,5.988298605705779e-17,63
test,9,m1,2.4807879452488022e-17,64
train,11,m1,1.3389398378475445e-34,1
train,11,m1,6.776139480747681e-22,2
train,11,m1,8.80414524159152e-24,3
train,11,m1,5.647916521091048e-21,4
train,11,m1,7.563583878880827e-16,5
train,11,m1,5.138479211222588e-15,6
train,11,m1,1.2300023196146204e-12,7
train,11,m1,3.4710348744554365e-12,8
train,11,m1,5.812263105704762e-13,9
train,11,m1,3.1132043557674516e-12,10
train,11,m1,5.023143901695948e-13,11
train,11,m1,5.761654691286496e-16,12
train,11,m1,4.1224632214842405e-12,13
train,11,m1,4.163341546514765e-12,14
train,11,m1,1.3009078406525654e-12,15
train,11,m1,1.3913330123432877e-12,16
train,11,m1,7.855387347543985e-12,17
train,11,m1,1.5528313227278212e-12,18
train,11,m1,3.782561937282214e-12,19
train,11,m1,1.1111833058774587e-14,20
train,11,m1,3.222383948217611e-12,21
train,11,m1,1.122261788708001e-12,22
train,11,m1,4.639812703965615e-15,23
train,11,m1,1.980879788541015e-13,24
train,11,m1,6.600574968730231e-15,25
train,11,m1,8.440210675004535e-15,26
train,11,m1,1.6012394318462575e-12,27
train,11,m1,2.6587358616797507e-13,28
train,11,m1,1.383516239940319e-13,29
train,11,m1,3.980766331497553e-16,30
train,11,m1,3.204497163634837e-15,31
train,11,m1,4.332881104044718e-16,32
train,11,m1,6.393559184685038e-14,33
train,11,m1,2.7676365329566428e-15,34
train,11,m1,8.277466423200304e-16,35
train,11,m1,3.16310088473333e-14,36
train,11,m1,1.4028669447895686e-13,37
train,11,m1,3.6696689388387646e-14,38
train,11,m1,1.0970237949113875e-14,39
train,11,m1,4.148094492678264e-14,40
test,11,m1,3.741993258352078e-24,41
test,11,m1,1.4360416365773448e-19,42
test,11,m1,6.396819287444078e-16,43
test,11,m1,8.953361657417793e-16,44
test,11,m1,1.1090654019015008e-17,45
test,11,m1,1.6113694325934529e-15,46
test,11,m1,1.5652766524609524e-16,47
test,11,m1,5.912900894348224e-16,48
test,11,m1,2.1856092781956382e-13,49
test,11,m1,2.8306411305623752e-14,50
test,11,m1,4.330458653343042e-14,51
test,11,m1,2.3559209223506395e-15,52
test,11,m1,1.0396719563824514e-13,53
test,11,m1,2.8917948764750623e-13,54
test,11,m1,2.3432988608871295e-15,55
test,11,m1,6.255885159943755e-14,56
test,11,m1,3.610255107019955e-12,57
test,11,m1,2.6498395762786925e-14,58
test,11,m1,1.1740936456568207e-13,59
test,11,m1,4.935944210292546e-16,60
test,11,m1,4.2113117463757344e-13,61
test,11,m1,1.9788500180785212e-15,62
test,11,m1,8.949119115024551e-13,63
test,11,m1,8.055041551303932e-13,64
train,12,m1,1.325118618634641e-32,1
train,12,m1,1.9657862438998173e-21,2
train,12,m1,1.5246373020534467e-17,3
train,12,m1,1.588424080852316e-13,4
train,12,m1,7.467135488513775e-21,5
train,12,m1,6.519318945898893e-18,6
train,12,m1,8.103826447782361e-14,7
train,12,m1,2.5240009735028046e-14,8
train,12,m1,2.115079216370025e-13,9
train,12,m1,5.010417464597512e-16,10
train,12,m1,1.2138676023544515e-13,11
train,12,m1,1.6633761425535742e-12,12
train,12,m1,3.296071843738278e-14,13
train,12,m1,2.2192204942195898e-13,14
train,12,m1,1.9606909412023255e-12,15
train,12,m1,2.34395109610885e-17,16
train,12,m1,1.3062320051559356e-13,17
train,12,m1,2.447462805338363e-13,18
train,12,m1,6.331910771531155e-14,19
train,12,m1,5.093897309169093e-13,20
train,12,m1,3.050645698985592e-15,21
train,12,m1,1.0072281381070646e-14,22
train,12,m1,1.449744729646596e-13,23
train,12,m1,5.352579600014439e-16,24
train,12,m1,7.714967174225068e-14,25
train,12,m1,7.530078855377473e-15,26
train,12,m1,1.4291170379260656e-14,27
train,12,m1,1.9811638495102063e-13,28
train,12,m1,1.9471871324167674e-16,29
train,12,m1,1.4264925232796571e-13,30
train,12,m1,6.25520861355296e-16,31
train,12,m1,6.641936349874311e-14,32
train,12,m1,7.225657569944662e-17,33
train,12,m1,3.835923549286302e-14,34
train,12,m1,2.945896151953527e-16,35
train,12,m1,2.312852314537633e-16,36
train,12,m1,6.964268978127894e-14,37
train,12,m1,2.988681850762151e-15,38
train,12,m1,3.222130907289014e-15,39
train,12,m1,5.744024229884989e-16,40
test,12,m1,1.2398791668744527e-29,41
test,12,m1,6.124340646075697e-21,42
test,12,m1,3.606031345570615e-17,43
test,12,m1,4.938493663658496e-18,44
test,12,m1,1.723254920921527e-13,45
test,12,m1,4.020795943914489e-15,46
test,12,m1,2.865867265722244e-13,47
test,12,m1,9.225029594384093e-13,48
test,12,m1,5.214423077354313e-12,49
test,12,m1,2.2695077154383236e-12,50
test,12,m1,1.3373385515311198e-12,51
test,12,m1,8.238154082518268e-12,52
test,12,m1,9.01926238772513e-14,53
test,12,m1,4.103478895654128e-13,54
test,12,m1,4.210021914419215e-11,55
test,12,m1,3.5254783033872306e-12,56
test,12,m1,2.853254785217807e-11,57
test,12,m1,5.647356361845532e-14,58
test,12,m1,2.3093317189082363e-11,59
test,12,m1,2.5320589808891514e-12,60
test,12,m1,2.843678797211785e-13,61
test,12,m1,1.3178743686614869e-11,62
test,12,m1,1.098031604876426e-12,63
test,12,m1,5.065327671194275e-11,64
train,13,m1,4.3800731827757925e-36,1
train,13,m1,9.770781868260876e-25,2
train,13,m1,2.5131222699573775e-17,3
train,13,m1,1.8295355199472522e-23,4
train,13,m1,1.3278273364103253e-22,5
train,13,m1,9.638430258454046e-16,6
train,13,m1,5.429534046755974e-14,7
train,13,m1,8.795873880325985e-15,8
train,13,m1,1.0974828020655046e-15,9
train,13,m1,1.7643952095257147e-14,10
train,13,m1,9.735718307923857e-12,11
train,13,m1,2.618418762045352e-15,12
train,13,m1,3.874454576613395e-12,13
train,13,m1,3.874986703039651e-12,14
train,13,m1,3.442039014922571e-11,15
train,13,m1,4.546057974508244e-12,16
train,13,m1,2.112557307906715e-12,17
train,13,m1,7.713207785149667e-13,18
train,13,m1,3.743721370234876e-13,19
train,13,m1,2.915157698568649e-11,20
train,13,m1,5.285360907616998e-13,21
train,13,m1,2.76860701248563e-13,22
train,13,m1,1.5989305365837758e-11,23
train,13,m1,5.782450798567929e-13,24
train,13,m1,1.0163258038972667e-12,25
train,13,m1,3.2052934525322874e-12,26
train,13,m1,6.458788853139913e-14,27
train,13,m1,9.598583863498766e-13,28
train,13,m1,1.2650246518711161e-12,29
train,13,m1,2.1944506758617144e-13,30
train,13,m1,8.877132292054932e-14,31
train,13,m1,5.816533913587454e-14,32
train,13,m1,1.142582556346028e-12,33
train,13,m1,9.240487742383577e-14,34
train,13,m1,4.796553345481902e-12,35
train,13,m1,1.1961296753418282e-12,36
train,13,m1,5.4060722505565664e-14,37
train,13,m1,1.0180016687478047e-13,38
train,13,m1,2.07879590277682e-12,39
train,13,m1,3.4383777834483265e-13,40
test,13,m1,1.760959777361441e-25,41
test,13,m1,5.8940411235200035e-21,42
test,13,m1,1.1344001772579104e-20,43
test,13,m1,2.8670005915705054e-16,44
test,13,m1,1.781781168717425e-21,45
test,13,m1,1.0157601236372339e-16,46
test,13,m1,6.411082466143906e-19,47
test,13,m1,8.726181171695441e-23,48
test,13,m1,5.23335812450162e-16,49
test,13,m1,3.5789823088342884e-21,50
test,13,m1,8.845700641786586e-21,51
test,13,m1,2.4984464977039107e-16,52
test,13,m1,3.6446472467636937e-16,53
test,13,m1,1.200410010651111e-15,54
test,13,m1,1.3279125352056247e-18,55
test,13,m1,1.6442224464885987e-20,56
test,13,m1,7.256969069282203e-16,57
test,13,m1,1.594345071138785e-20,58
test,13,m1,4.5179199496839885e-20,59
test,13,m1,1.0270257544799447e-15,60
test,13,m1,7.827785427793328e-21,61
test,13,m1,1.492419165201662e-19,62
test,13,m1,2.0977135162920067e-15,63
test,13,m1,3.340240939607222e-20,64
train,14,m1,3.497154174540259e-32,1
train,14,m1,3.504456984598264e-24,2
train,14,m1,2.3767351459917734e-20,3
train,14,m1,1.8529962415014767e-17,4
train,14,m1,5.328779396947247e-18,5
train,14,m1,2.0477707596559987e-15,6
train,14,m1,3.7201518992072136e-13,7
train,14,m1,7.859225884329873e-20,8
train,14,m1,1.0696013573539137e-13,9
train,14,m1,4.338496469263871e-17,10
train,14,m1,4.1547914739724356e-13,11
train,14,m1,1.413993298534158e-13,12
