"","blockcollect","ID","condition","p","trialcollect"
"66","train",3,"m1",1.34853362675279e-14,2
"67","train",3,"m1",5.83176562596321e-11,3
"68","train",3,"m1",0.00227889535017312,4
"69","train",3,"m1",2.49389745476947e-06,5
"70","train",3,"m1",4.73480258733616e-06,6
"71","train",3,"m1",2.18400987250789e-06,7
"72","train",3,"m1",0.0017198104178533,8
"73","train",3,"m1",0.132613450288773,9
"74","train",3,"m1",6.81281107972609e-06,10
"75","train",3,"m1",0.00735571840777993,11
"76","train",3,"m1",0.000152829248690978,12
"77","train",3,"m1",0.00320604373700917,13
"78","train",3,"m1",0.0189950801432133,14
"79","train",3,"m1",0.0823126435279846,15
"80","train",3,"m1",0.00633637327700853,16
"81","train",3,"m1",0.00381103786639869,17
"82","train",3,"m1",0.00190811499487609,18
"83","train",3,"m1",0.00249478151090443,19
"84","train",3,"m1",0.014239439740777,20
"85","train",3,"m1",0.31109157204628,21
"86","train",3,"m1",0.0697931498289108,22
"87","train",3,"m1",0.519720733165741,23
"88","train",3,"m1",0.0709545090794563,24
"89","train",3,"m1",0.000402544450480491,25
"90","train",3,"m1",0.00525070261210203,26
"91","train",3,"m1",0.21637037396431,27
"92","train",3,"m1",0.00143323559314013,28
"93","train",3,"m1",0.0502335280179977,29
"94","train",3,"m1",0.121128223836422,30
"95","train",3,"m1",0.0312100239098072,31
"96","train",3,"m1",0.0011263428023085,32
"97","train",3,"m1",0.198857098817825,33
"98","train",3,"m1",0.00254411110654473,34
"99","train",3,"m1",0.0739191919565201,35
"100","train",3,"m1",0.294684261083603,36
"101","train",3,"m1",0.130204990506172,37
"102","train",3,"m1",0.0639223009347916,38
"103","train",3,"m1",0.00258717825636268,39
"104","train",3,"m1",0.0156322680413723,40
"105","test",3,"m1",2.22877423981804e-12,41
"106","test",3,"m1",7.92759358592826e-13,42
"107","test",3,"m1",2.97910759172737e-07,43
"108","test",3,"m1",1.64399398272508e-06,44
"109","test",3,"m1",0.000519900408107787,45
"110","test",3,"m1",0.00037152279401198,46
"111","test",3,"m1",0.00325812213122845,47
"112","test",3,"m1",0.0733034461736679,48
"113","test",3,"m1",0.0225567556917667,49
"114","test",3,"m1",5.94009998167166e-06,50
"115","test",3,"m1",0.0759224966168404,51
"116","test",3,"m1",0.0169454924762249,52
"117","test",3,"m1",0.0105635309591889,53
"118","test",3,"m1",1.32988453582783e-10,54
"119","test",3,"m1",0.000209984558750875,55
"120","test",3,"m1",0.0047298208810389,56
"121","test",3,"m1",0.00215355353429914,57
"122","test",3,"m1",0.0219856910407543,58
"123","test",3,"m1",0.00415416341274977,59
"124","test",3,"m1",0.0266392230987549,60
"125","test",3,"m1",0.0190524663776159,61
"126","test",3,"m1",0.017226692289114,62
"127","test",3,"m1",0.100530192255974,63
"128","test",3,"m1",0.0978973433375359,64
"129","train",4,"m1",2.01013144748145e-26,1
"130","train",4,"m1",6.55336288707398e-12,2
"131","train",4,"m1",1.77065428985657e-09,3
"132","train",4,"m1",3.77663367245873e-09,4
"133","train",4,"m1",8.5591272958041e-10,5
"134","train",4,"m1",0.00459753721952438,6
"135","train",4,"m1",0.0268760062754154,7
